,year,state,party,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
61,61,Maryland,REP,672661,680606,879918,876167,707094,681530,813827,1024703,959862,971869,943428,976414
62,62,Maryland,LIB,0,133729,8020,11887,288915,133133,67377,25035,42267,57614,160012,55171
63,63,Massachusetts,DEM,1429475,1053802,1239606,1401415,1318639,1571509,1616487,1803800,1904097,1921290,1995196,2382202
64,64,Massachusetts,REP,1030276,1057631,1310936,1194635,805039,718058,878502,1071109,1108854,1188314,1090893,1167202
65,65,Massachusetts,LIB,87807,412657,8841,36751,649986,266892,238975,52546,90044,74592,292732,82069
66,66,Michigan,DEM,1696714,1661532,1529638,1675783,1871182,1989653,2170418,2479183,2872579,2564569,2268839,2804040
67,67,Michigan,REP,1893742,1915225,2251571,1965486,1554940,1481212,1953139,2313746,2048639,2115256,2279543,2649852
68,68,Michigan,LIB,61134,332968,20449,27894,848551,377979,108944,46323,80378,51136,250902,90210
69,69,Minnesota,DEM,1070440,954173,1036364,1109471,1020997,1120380,0,0,1573354,0,1367705,1717077
70,70,Minnesota,REP,819395,873268,1032603,962337,747841,766395,1109659,1346695,1275409,1320225,1322949,1484065
71,71,Minnesota,LIB,60096,224475,15482,24982,579110,305717,1329026,1481692,61606,1616336,254128,76028
72,72,Mississippi,DEM,381329,429281,352192,363921,400258,394022,404614,457766,554662,562949,485131,539494
73,73,Mississippi,REP,366846,441089,582377,557890,487793,439838,572844,672660,724597,710746,700714,756731
74,74,Mississippi,LIB,20215,21380,6535,9716,93742,59997,16726,9398,10606,11889,23512,19015
75,75,Missouri,DEM,998387,931182,848583,1001619,1053873,1025935,1111138,1259171,1441911,1223796,1071068,1253561
76,76,Missouri,REP,927443,1074181,1274188,1084953,811159,890016,1189924,1455713,1445814,1482440,1594511,1717912
77,77,Missouri,LIB,27770,94461,0,6656,526238,242114,58830,16480,37480,51087,143026,58113
78,78,Montana,DEM,149259,118032,146742,168936,154507,167922,137126,173710,231667,201839,177709,244786
79,79,Montana,REP,173703,206814,232450,190412,144207,179652,240178,266063,242763,267928,279240,343602
80,80,Montana,LIB,5772,39106,5185,6326,111869,59509,33682,10661,15679,14281,37577,17362
81,81,Nebraska,DEM,233293,166424,187866,259235,216864,236761,231780,254328,333319,302081,284494,374583
82,82,Nebraska,REP,359219,419214,460054,397956,343678,363467,433862,512814,452979,475064,495961,556846
83,83,Nebraska,LIB,14237,53895,4170,4274,177004,77187,31377,11044,14983,17234,63772,20842
84,84,Nevada,DEM,92479,66666,91655,132738,189148,203974,279978,397190,533736,531373,539260,703486
85,85,Nevada,REP,101273,155017,188770,206040,175828,199244,301575,418690,412827,463567,512058,669890
86,86,Nevada,LIB,8124,22009,2292,4355,141342,61061,27873,13707,21285,19978,74067,32000
87,87,New Hampshire,DEM,147645,108864,120347,163696,209040,246166,266348,340511,384826,369561,348526,424921
88,88,New Hampshire,REP,185935,221705,267050,281537,202484,196486,273559,331237,316534,329918,345790,365654
89,89,New Hampshire,LIB,6047,53421,1507,5292,125691,53945,29174,6539,9610,11493,49980,13855
90,90,New Jersey,DEM,1444653,1147364,1261323,1320352,1436206,1652361,1788850,1911430,2215422,2122786,2148278,2607331
91,91,New Jersey,REP,1509688,1546557,1933630,1743192,1356865,1103099,1284173,1670003,1613207,1478088,1601933,1882454
92,92,New Jersey,LIB,60131,281763,22909,36009,550523,320400,114203,30258,39608,37625,123835,75972
93,93,New Mexico,DEM,201148,167826,201769,244497,261617,273495,286783,370942,472422,415335,385234,501614
94,94,New Mexico,REP,211419,250779,307101,270341,212824,232751,286417,376930,346832,335788,319667,401894
95,95,New Mexico,LIB,4023,37632,5500,6549,95545,49828,25405,8432,10904,32635,93418,20457
96,96,New York,DEM,3244165,2728372,3001285,3255487,3346894,3649630,3942215,4180755,4645332,4324228,4379789,4131812
97,97,New York,REP,2825913,2637700,3376519,2838414,2041690,1738707,2258577,2806993,2418323,2223397,2527142,3003631
98,98,New York,LIB,598184,835887,429006,391782,1690848,1050792,759423,460518,658364,569159,895153,108555
99,99,North Carolina,DEM,927365,875635,824287,890167,1114042,1107849,1257692,1525849,2142651,2178391,2189316,2684292
100,100,North Carolina,REP,741960,915018,1346481,1237258,1134661,1225938,1631163,1961166,2128474,2270395,2362631,2758773
101,101,North Carolina,LIB,8581,65180,4593,6945,363147,182020,26135,13992,39726,56586,189617,81736
102,102,North Dakota,DEM,136078,79189,104429,127739,99168,106905,95284,111052,141278,124966,93758,114902
103,103,North Dakota,REP,153684,193695,200336,166559,136244,125050,174852,196651,168601,188320,216794,235595
104,104,North Dakota,LIB,7546,28232,4206,2963,72721,34456,18120,5130,6742,9646,33808,11322
105,105,Ohio,DEM,2009959,1752414,1825440,1939629,1984942,2148222,2183628,2741165,2940044,2827621,2394164,2679165
106,106,Ohio,REP,2000626,2206545,2678559,2416549,1894310,1859883,2350363,2859764,2677820,2661407,2841005,3154834
107,107,Ohio,LIB,99871,324644,59236,37407,1060715,526329,168007,26974,90486,91794,261318,88203
